Adding 0.5:
4503599627370497.000	4503599627370498.000	1.000

(x+y)+z:	1.000
x+(y+z):	0.000

Possible bug! f=1641.000000, bad_round=1642.000, slow_round=1641.000
Possible bug! f=1643.000000, bad_round=1644.000, slow_round=1643.000
Possible bug! f=1645.000000, bad_round=1646.000, slow_round=1645.000
Possible bug! f=1647.000000, bad_round=1648.000, slow_round=1647.000
Possible bug! f=1649.000000, bad_round=1650.000, slow_round=1649.000
Possible bug! f=1651.000000, bad_round=1652.000, slow_round=1651.000
Possible bug! f=1653.000000, bad_round=1654.000, slow_round=1653.000
Possible bug! f=1655.000000, bad_round=1656.000, slow_round=1655.000
Possible bug! f=1657.000000, bad_round=1658.000, slow_round=1657.000
Possible bug! f=1659.000000, bad_round=1660.000, slow_round=1659.000
Possible bug! f=1661.000000, bad_round=1662.000, slow_round=1661.000
Possible bug! f=1663.000000, bad_round=1664.000, slow_round=1663.000
Possible bug! f=1665.000000, bad_round=1666.000, slow_round=1665.000
Possible bug! f=1667.000000, bad_round=1668.000, slow_round=1667.000
Possible bug! f=1669.000000, bad_round=1670.000, slow_round=1669.000
Possible bug! f=1671.000000, bad_round=1672.000, slow_round=1671.000
Possible bug! f=1673.000000, bad_round=1674.000, slow_round=1673.000
Possible bug! f=1675.000000, bad_round=1676.000, slow_round=1675.000
Possible bug! f=1677.000000, bad_round=1678.000, slow_round=1677.000
Possible bug! f=1679.000000, bad_round=1680.000, slow_round=1679.000
Possible bug! f=1681.000000, bad_round=1682.000, slow_round=1681.000
Possible bug! f=1683.000000, bad_round=1684.000, slow_round=1683.000
Possible bug! f=1685.000000, bad_round=1686.000, slow_round=1685.000
Possible bug! f=1687.000000, bad_round=1688.000, slow_round=1687.000
Possible bug! f=1689.000000, bad_round=1690.000, slow_round=1689.000
Possible bug! f=1691.000000, bad_round=1692.000, slow_round=1691.000
Possible bug! f=1693.000000, bad_round=1694.000, slow_round=1693.000
Possible bug! f=1695.000000, bad_round=1696.000, slow_round=1695.000
Possible bug! f=1697.000000, bad_round=1698.000, slow_round=1697.000
Possible bug! f=1699.000000, bad_round=1700.000, slow_round=1699.000
Possible bug! f=1701.000000, bad_round=1702.000, slow_round=1701.000
Possible bug! f=1703.000000, bad_round=1704.000, slow_round=1703.000
Possible bug! f=1705.000000, bad_round=1706.000, slow_round=1705.000
Possible bug! f=1707.000000, bad_round=1708.000, slow_round=1707.000
Possible bug! f=1709.000000, bad_round=1710.000, slow_round=1709.000
Possible bug! f=1711.000000, bad_round=1712.000, slow_round=1711.000
Possible bug! f=1713.000000, bad_round=1714.000, slow_round=1713.000
Possible bug! f=1715.000000, bad_round=1716.000, slow_round=1715.000
Possible bug! f=1717.000000, bad_round=1718.000, slow_round=1717.000
Possible bug! f=1719.000000, bad_round=1720.000, slow_round=1719.000
Possible bug! f=1721.000000, bad_round=1722.000, slow_round=1721.000
Possible bug! f=1723.000000, bad_round=1724.000, slow_round=1723.000
Possible bug! f=1725.000000, bad_round=1726.000, slow_round=1725.000
Possible bug! f=1727.000000, bad_round=1728.000, slow_round=1727.000
Possible bug! f=1729.000000, bad_round=1730.000, slow_round=1729.000
Possible bug! f=1731.000000, bad_round=1732.000, slow_round=1731.000
Possible bug! f=1733.000000, bad_round=1734.000, slow_round=1733.000
Possible bug! f=1735.000000, bad_round=1736.000, slow_round=1735.000
Possible bug! f=1737.000000, bad_round=1738.000, slow_round=1737.000
Possible bug! f=1739.000000, bad_round=1740.000, slow_round=1739.000
Possible bug! f=1741.000000, bad_round=1742.000, slow_round=1741.000
Possible bug! f=1743.000000, bad_round=1744.000, slow_round=1743.000
Possible bug! f=1745.000000, bad_round=1746.000, slow_round=1745.000
Possible bug! f=1747.000000, bad_round=1748.000, slow_round=1747.000
Possible bug! f=1749.000000, bad_round=1750.000, slow_round=1749.000
Possible bug! f=1751.000000, bad_round=1752.000, slow_round=1751.000
Possible bug! f=1753.000000, bad_round=1754.000, slow_round=1753.000
Possible bug! f=1755.000000, bad_round=1756.000, slow_round=1755.000
Possible bug! f=1757.000000, bad_round=1758.000, slow_round=1757.000
Possible bug! f=1759.000000, bad_round=1760.000, slow_round=1759.000
Possible bug! f=1761.000000, bad_round=1762.000, slow_round=1761.000
Possible bug! f=1763.000000, bad_round=1764.000, slow_round=1763.000
Possible bug! f=1765.000000, bad_round=1766.000, slow_round=1765.000
Possible bug! f=1767.000000, bad_round=1768.000, slow_round=1767.000
Possible bug! f=1769.000000, bad_round=1770.000, slow_round=1769.000
Possible bug! f=1771.000000, bad_round=1772.000, slow_round=1771.000
Possible bug! f=1773.000000, bad_round=1774.000, slow_round=1773.000
Possible bug! f=1775.000000, bad_round=1776.000, slow_round=1775.000
Possible bug! f=1777.000000, bad_round=1778.000, slow_round=1777.000
Possible bug! f=1779.000000, bad_round=1780.000, slow_round=1779.000
Possible bug! f=1781.000000, bad_round=1782.000, slow_round=1781.000
Possible bug! f=1783.000000, bad_round=1784.000, slow_round=1783.000
Possible bug! f=1785.000000, bad_round=1786.000, slow_round=1785.000
Possible bug! f=1787.000000, bad_round=1788.000, slow_round=1787.000
Possible bug! f=1789.000000, bad_round=1790.000, slow_round=1789.000
Possible bug! f=1791.000000, bad_round=1792.000, slow_round=1791.000
